file_name,text
001.jpeg,"swissposter style, orange modular semicircles, strict geometric grid, oversized lowercase sans serif lettering, abundant white space, minimal two-color layout"
002.jpeg,"swissposter style, red black and white interface presentation, modular device mockups, oversized year numerals, Swiss cross symbols, high-contrast grid"
003.jpeg,"swissposter style, red and cream airline poster, symmetrical abstract aircraft silhouette, dramatic converging curves, centered small sans serif wordmark"
004.jpeg,"swissposter style, deep navy poster, layered orange blue and white horizontal stripes, optical wave distortion, small asymmetric typography"
005.jpeg,"swissposter style, white minimalist scale study, three black circles increasing in size on a diagonal, sparse centered sans serif caption"
006.jpeg,"swissposter style, cream typography specimen, oversized black grotesk lettering, red circle and plus sign, visible baseline grid, dense microtype"
007.jpeg,"swissposter style, white concert poster, extreme cropped black display typography, small event details at upper right, single red accent word, radical scale contrast"
008.jpeg,"swissposter style, aged cream poster, oversized black numeral eight, diagonal cyan magenta and navy bands, bold geometric composition"
009.jpeg,"swissposter style, black poster with gray text panel, stacked uppercase words connected by red bars, dense typographic rhythm, restrained red black palette"
010.jpeg,"swissposter style, black white and coral typographic collage, fragmented oversized letterforms, brush textures, diagonal blocks, energetic editorial layout"
011.jpeg,"swissposter style, black optical poster, repeated white and gray concentric rings, mirrored vertical symmetry, dimensional gradient illusion"
012.jpeg,"swissposter style, black graphic poster, bold lowercase white headline, cobalt blue rectangular panels, red orange base block, white vapor trails"
013.webp,"swissposter style, warm off-white literary poster, repeated red circles in an asymmetric column, one isolated black circle, tiny centered quote"
014.jpeg,"swissposter style, green Olympic information poster, modular grid, white pictograms, compact multilingual typography, archival sports identity"
015.jpeg,"swissposter style, fluorescent yellow blue orange and black abstract poster, overlapping arches and diagonal wedge, large flat geometric color fields"
016.webp,"swissposter style, four-panel sports campaign, cropped athlete photography masked by red blue pink gray geometry, modular editorial grid"
017.jpeg,"swissposter style, white Japanese editorial poster, blue technical illustration, red Japanese typography, strong diagonal white slash, generous margins"
018.jpeg,"swissposter style, black experimental fashion poster, silhouetted hooded figure, scattered microtype, grainy monochrome texture, asymmetrical technical annotations"
019.jpeg,"swissposter style, dark automotive poster, dealership photography with cobalt architectural signage, centered vehicle, small white caption, cinematic contrast"
020.jpeg,"swissposter style, black concert poster, luminous purple gradient spheres, oversized white condensed typography, modular event information"
021.jpeg,"swissposter style, cream Swiss typography poster, visible red grid, oversized black sans serif words, large red stepped rectangle, rational asymmetry"
022.jpeg,"swissposter style, two coordinated cultural posters, modular rounded red and yellow geometric letterforms, black and cream grounds, small multilingual type"
023.jpeg,"swissposter style, pink and green modernist music poster, horizontal modular bands, black rule, lowercase sans serif title, structured information grid"
024.webp,"swissposter style, white Helvetica specimen, black architectural tower built from repeated microtype, sparse black typography, strong vertical hierarchy"
025.jpeg,"swissposter style, black and white mountain poster, oversized coordinates, contour arrows and circles, asymmetrical technical typography, photographic texture"
026.webp,"swissposter style, experimental collage poster, tall outlined condensed typography, yellow rectangle, abstract product photography, dense vertical grid"
027.webp,"swissposter style, vintage blue travel poster, red train crossing a stone viaduct, simplified snowy mountains, flat screen-printed illustration"
028.webp,"swissposter style, cream racing poster, translucent cyan purple orange and green rectangles, halftone race car, asymmetric technical typography"
029.webp,"swissposter style, vintage road safety poster, close-up motorcycle photography, thin cyan orange construction grid, yellow footer, small running figure"
030.jpeg,"swissposter style, gray photographic poster, cropped industrial vehicle detail, enormous red number twenty-two, minimal composition, grainy print texture"
031.webp,"swissposter style, mint and dark brown wayfinding poster, oversized diagonal arrow, extreme geometric cropping, small corner typography"
032.jpeg,"swissposter style, white music poster, concentric broken rings in red yellow and green, centered circular rhythm, compact lower information block"
