new_filename,source_folder,original_filename
001.jpeg,LORA Photos,1.jpeg
002.jpeg,LORA Photos,2.jpeg
003.jpeg,LORA Photos,3.jpeg
004.jpeg,LORA Photos,4.jpeg
005.jpeg,LORA Photos,5.jpeg
006.jpeg,LORA Photos,6.jpeg
007.jpeg,LORA Photos,7.jpeg
008.jpeg,LORA Photos,9.jpeg
009.jpeg,LORA Photos,10.jpeg
010.jpeg,LORA Photos,11.jpeg
011.jpeg,LORA Photos,12.jpeg
012.jpeg,LORA Photos,13.jpeg
013.webp,LORA Photos,14.webp
014.jpeg,LORA Photos,15.jpeg
015.jpeg,LORA Photos,16.jpeg
016.webp,LORA Photos,17.webp
017.jpeg,LORA Photos,18.jpeg
018.jpeg,LORA Photos,19.jpeg
019.jpeg,LORA Photos,20.jpeg
020.jpeg,LORA Photos,21.jpeg
021.jpeg,LORA Photos,22.jpeg
022.jpeg,LORA Photos,23.jpeg
023.jpeg,LORA Photos,24.jpeg
024.webp,LORA Photos,25.webp
025.jpeg,LORA Photos,27.jpeg
026.webp,LORA Photos,28.webp
027.webp,LORA Photos,29.webp
028.webp,LORA Photos,30.webp
029.webp,LORA Photos,31.webp
030.jpeg,LORA Photos,32.jpeg
031.webp,LORA Photos,33.webp
032.jpeg,LORA Photos,34.jpeg
033.webp,LORA Photos,35.webp
034.jpg,Swiss Poster Data set 2,1.jpg
035.jpg,Swiss Poster Data set 2,2.jpg
036.jpg,Swiss Poster Data set 2,3.jpg
037.jpg,Swiss Poster Data set 2,4.jpg
038.jpg,Swiss Poster Data set 2,5.jpg
039.jpg,Swiss Poster Data set 2,6.jpg
040.jpg,Swiss Poster Data set 2,7.jpg
041.jpg,Swiss Poster Data set 2,8.jpg
042.jpg,Swiss Poster Data set 2,9.jpg
043.png,Swiss Poster Data set 2,10.png
044.jpg,Swiss Poster Data set 2,11.jpg
045.jpg,Swiss Poster Data set 2,12.jpg
046.jpg,Swiss Poster Data set 2,13.jpg
047.jpg,Swiss Poster Data set 2,14.jpg
048.jpg,Swiss Poster Data set 2,15.jpg
049.jpg,Swiss Poster Data set 2,16.jpg
050.jpg,Swiss Poster Data set 2,17.jpg
051.jpg,Swiss Poster Data set 2,18.jpg
052.jpg,Swiss Poster Data set 2,19.jpg
053.jpg,Swiss Poster Data set 2,20.jpg
054.jpg,Swiss Poster Data set 2,21.jpg
055.jpg,Swiss Poster Data set 2,22.jpg
056.jpg,Swiss Poster Data set 2,23.jpg
057.jpg,Swiss Poster Data set 2,24.jpg
058.jpg,Swiss Poster Data set 2,25.jpg
